dataset	tool	db	samples	run_elapsed_seconds	resource_max_rss_gb	completeness_species	purity_species	l1_norm_species	completeness_genus	purity_genus	l1_norm_genus	weighted_unifrac	status	paper_scope	tool_version
atcc-hifi	bracken	cami_refseq	1	285.38232707977295	120.90039825439453	1.0	0.09389671361502347	0.5367702995819057	1.0	0.375	0.5310911981787168	0.6625514471484597	complete	supplementary	2.9
atcc-hifi	centrifuger	cami_refseq	1	2689.701011657715	143.4042854309082	1.0	0.21052631578947367	0.3897957461387238	1.0	0.5454545454545454	0.3884699457409838	0.4248663043119781	complete	supplementary	1.1.0-r291
atcc-hifi	chimera	cami_refseq	1	2351.6102833747864	77.56137466430664	0.7	1.0	0.16483957687038292	0.6666666666666666	1.0	0.16483957687038298	0.21940946591010846	complete	supplementary	1.7
atcc-hifi	sylph	cami_refseq	1	154.9290783405304	22.302764892578125	0.85	0.9444444444444444	0.266445145477331	0.8888888888888888	1.0	0.2663594383886232	0.43175882119220405	complete	supplementary	0.8.1
atcc-illumina	bracken	cami_refseq	1	114.67618703842163	121.1551628112793	1.0	0.06535947712418301	0.4601243660914299	1.0	0.18	0.35197693545089526	0.39274539352581034	complete	supplementary	2.9
atcc-illumina	centrifuger	cami_refseq	1	287.26486897468567	141.3782844543457	1.0	0.0322061191626409	0.17979769751723704	1.0	0.08035714285714286	0.1433733290079948	0.16473504057859967	complete	supplementary	1.1.0-r291
atcc-illumina	chimera	cami_refseq	1	460.0702443122864	72.21340942382812	0.7	0.9333333333333333	0.06921859902487464	0.6666666666666666	0.9230769230769231	0.06195565087988715	0.08019886015272898	complete	supplementary	1.7
atcc-illumina	sylph	cami_refseq	1	66.45995736122131	22.248550415039062	0.8	0.9411764705882353	0.09040138386538774	0.8333333333333334	1.0	0.08934524296273008	0.1254300140374383	complete	supplementary	0.8.1
cami-strain-madness-long	bracken	cami_refseq	100	2160.327124595642	126.92764663696289	1.0	0.0011019283746556473	0.5152822966747855	1.0	0.003940332113706727	0.3780060686706732	0.27772489174905823	complete	supplementary	2.9
cami-strain-madness-long	centrifuger	cami_refseq	100	13575.142525196075	144.22858047485352	1.0	0.0010109179134654266	0.5258024156466032	1.0	0.0038356164383561643	0.44958065262422325	0.5396938624947581	complete	supplementary	1.1.0-r291
cami-strain-madness-long	chimera	cami_refseq	100	10464.397116422653	96.30700302124023	0.45	0.42857142857142855	0.18517789953661293	0.42857142857142855	0.6	0.1193740507940235	0.1111927654600035	complete	supplementary	1.7
cami-strain-madness-long	sylph	cami_refseq	100	2103.485461473465	33.20263671875	0.45	0.47368421052631576	0.4079897487584012	0.7857142857142857	0.9166666666666666	0.3444937626416482	0.49402556857019136	complete	supplementary	0.8.1
