tool	metric	cohort	n_case	n_control	case_mean	control_mean	auc_crc_vs_control	auc_ci_low	auc_ci_high	adjusted_condition_beta	adjusted_condition_se	adjusted_wald_statistic	adjusted_p_value	adjusted_standardized_effect	adjusted_effect_se
Centrifuger	strict_c2_best_reads_per_million	2015 Yu et al	74	53	106.382883	87.566038	0.564125	0.463157	0.659485	0.000684	0.000491	1.393307	0.166081	0.252721	0.179609
Centrifuger	strict_c2_best_reads_per_million	2018 Wirbel et al	60	65	120.272222	120.810256	0.232051	0.146792	0.324106	-0.000918	0.000786	-1.167235	0.245449	-0.210661	0.180845
Centrifuger	strict_c2_best_reads_per_million	YachidaS_2019	258	250	124.645995	112.284140	0.527667	0.477789	0.577769	0.000330	0.000260	1.269406	0.204884	0.112878	0.088982
Centrifuger	strict_c2_best_rate	2015 Yu et al	74	53	0.475585	0.434680	0.618562	0.520398	0.714693	0.039052	0.021385	1.826136	0.0702952	0.331229	0.180119
Centrifuger	strict_c2_best_rate	2018 Wirbel et al	60	65	0.456122	0.451590	0.441282	0.337942	0.546154	0.001905	0.022300	0.085432	0.932061	0.015419	0.180348
Centrifuger	strict_c2_best_rate	YachidaS_2019	258	250	0.427474	0.418456	0.520822	0.470946	0.569566	0.007062	0.007939	0.889522	0.374148	0.079098	0.088946
Chimera	strict_c2_best_reads_per_million	2015 Yu et al	74	53	79.572072	30.459119	0.665222	0.567950	0.754717	0.002248	0.000767	2.932702	0.00402001	0.531940	0.182033
Chimera	strict_c2_best_reads_per_million	2018 Wirbel et al	60	65	222.716667	13.974359	0.521795	0.413846	0.628978	0.004358	0.001935	2.252108	0.0261492	0.406457	0.182198
Chimera	strict_c2_best_reads_per_million	YachidaS_2019	258	250	63.200258	29.937904	0.589674	0.540398	0.638869	0.001172	0.000383	3.064844	0.00229502	0.272532	0.089323
Chimera	strict_c2_best_rate	2015 Yu et al	74	53	0.073560	0.038052	0.672998	0.575982	0.762876	0.064534	0.019427	3.321811	0.001183	0.602518	0.182911
Chimera	strict_c2_best_rate	2018 Wirbel et al	60	65	0.066804	0.015578	0.628974	0.525128	0.724109	0.097403	0.027189	3.582396	0.000494331	0.646545	0.184998
Chimera	strict_c2_best_rate	YachidaS_2019	258	250	0.039289	0.022445	0.594527	0.545146	0.642775	0.029481	0.008315	3.545576	0.000428427	0.315279	0.089462
Kraken2_LF01	strict_c2_best_reads_per_million	2015 Yu et al	74	53	41.639640	41.100629	0.514661	0.412031	0.616522	0.000005	0.000322	0.015114	0.987966	0.002741	0.178897
Kraken2_LF01	strict_c2_best_reads_per_million	2018 Wirbel et al	60	65	56.211111	91.800000	0.167949	0.093590	0.249359	-0.001877	0.000418	-4.489335	1.66241e-05	-0.810228	0.187599
Kraken2_LF01	strict_c2_best_reads_per_million	YachidaS_2019	258	250	78.103359	79.637868	0.490984	0.441021	0.541225	-0.000121	0.000196	-0.616502	0.537843	-0.054820	0.088928
Kraken2_LF01	strict_c2_best_rate	2015 Yu et al	74	53	0.982595	0.993557	0.361933	0.280593	0.444034	-0.046684	0.018145	-2.572786	0.0112965	-0.466658	0.181315
Kraken2_LF01	strict_c2_best_rate	2018 Wirbel et al	60	65	0.993477	0.998497	0.411795	0.329737	0.493590	-0.033545	0.011796	-2.843620	0.00525168	-0.513212	0.183290
Kraken2_LF01	strict_c2_best_rate	YachidaS_2019	258	250	0.992943	0.995976	0.411132	0.368215	0.455373	-0.017468	0.005414	-3.226492	0.00133497	-0.286906	0.089367
Published_Fna_C2	published_fna_c2_percent	2015 Yu et al	74	53	0.016309	0.001492	0.656553	0.590770	0.720806	0.004237	0.001757	2.411586	0.0173861	0.437419	0.181023
Published_Fna_C2	published_fna_c2_percent	2018 Wirbel et al	60	65	0.072747	0.000272	0.693462	0.627946	0.758333	0.009093	0.003749	2.425828	0.0167748	0.437809	0.182493
Published_Fna_C2	published_fna_c2_percent	YachidaS_2019	258	250	0.010259	0.001570	0.586628	0.555658	0.617124	0.002613	0.000650	4.022753	6.63788e-05	0.357711	0.089619
