tool	metric	cohort	n_case	n_control	case_mean	control_mean	auc_crc_vs_control	auc_ci_low	auc_ci_high	adjusted_condition_beta	adjusted_condition_se	adjusted_wald_statistic	adjusted_p_value	adjusted_standardized_effect	adjusted_effect_se
Chimera	raw_c2_reads_per_million	2015 Yu et al	74	53	858.801802	772.201258	0.576619	0.477817	0.675293	0.001229	0.001008	1.219121	0.225169	0.221127	0.179443
Chimera	raw_c2_reads_per_million	2018 Wirbel et al	60	65	1016.122222	869.307692	0.213205	0.121279	0.308724	0.000617	0.002152	0.286552	0.774953	0.051717	0.180376
Chimera	raw_c2_reads_per_million	YachidaS_2019	258	250	1148.271318	1109.184737	0.519171	0.469069	0.570104	0.000283	0.000361	0.783583	0.433654	0.069678	0.088938
Centrifuger	raw_c2_reads_per_million	2015 Yu et al	74	53	219.234234	199.044025	0.526517	0.426186	0.626594	0.000334	0.000534	0.625144	0.533054	0.113390	0.179040
Centrifuger	raw_c2_reads_per_million	2018 Wirbel et al	60	65	223.194444	267.620513	0.191154	0.111538	0.277317	-0.001624	0.000772	-2.103593	0.03752	-0.379653	0.181963
Centrifuger	raw_c2_reads_per_million	YachidaS_2019	258	250	278.001292	261.222757	0.530364	0.479872	0.581388	0.000343	0.000299	1.145422	0.25258	0.101853	0.088969
Kraken2_LF01	raw_c2_reads_per_million	2015 Yu et al	74	53	42.319820	41.333333	0.522310	0.419429	0.624044	0.000039	0.000322	0.121310	0.903647	0.022003	0.178902
Kraken2_LF01	raw_c2_reads_per_million	2018 Wirbel et al	60	65	56.588889	91.928205	0.169872	0.095513	0.254362	-0.001860	0.000419	-4.436941	2.04969e-05	-0.800772	0.187434
Kraken2_LF01	raw_c2_reads_per_million	YachidaS_2019	258	250	78.788114	79.949825	0.492318	0.440627	0.541683	-0.000107	0.000198	-0.541258	0.58857	-0.048130	0.088924
sylph	raw_c2_sequence_abundance_percent	2015 Yu et al	74	53	4.622500	0.610551	0.518103	0.485977	0.547297	0.042132	0.047815	0.881132	0.379993	0.159822	0.179182
sylph	raw_c2_sequence_abundance_percent	2018 Wirbel et al	60	65	10.000000	0.000000	0.550000	0.516667	0.591667	0.171635	0.072136	2.379323	0.0189346	0.429416	0.182412
sylph	raw_c2_sequence_abundance_percent	YachidaS_2019	258	250	4.055841	0.300553	0.531023	0.515357	0.548450	0.059537	0.018959	3.140223	0.00178768	0.279235	0.089343
Published_Fna_C2	published_fna_c2_percent	2015 Yu et al	74	53	0.016309	0.001492	0.656553	0.590770	0.720806	0.004237	0.001757	2.411586	0.0173861	0.437419	0.181023
Published_Fna_C2	published_fna_c2_percent	2018 Wirbel et al	60	65	0.072747	0.000272	0.693462	0.627946	0.758333	0.009093	0.003749	2.425828	0.0167748	0.437809	0.182493
Published_Fna_C2	published_fna_c2_percent	YachidaS_2019	258	250	0.010259	0.001570	0.586628	0.555658	0.617124	0.002613	0.000650	4.022753	6.63788e-05	0.357711	0.089619
