sample	cohort	condition	role	tool	input_reads_used	expected_c2_reads_at_depth	candidate_reads	strict_c2_best_reads	c2_tied_best_reads	c2_supported_reads	non_c2_best_reads	unmapped_reads	strict_c2_best_rate	c2_tied_best_rate	c2_supported_rate	non_c2_best_rate	unmapped_rate	candidate_reads_per_million	strict_c2_best_reads_per_million	c2_supported_reads_per_million
2015_Yu_SZAXPI003409-8_zeroFna_rank37_head3000k	2015 Yu et al	disease	paper_zero_fna	Centrifuger	3000000	0.0	727	359	44	403	8	316	0.49381	0.060523	0.554333	0.011004	0.434663	242.33333333333334	119.66666666666667	134.33333333333334
2015_Yu_SZAXPI003409-8_zeroFna_rank37_head3000k	2015 Yu et al	disease	paper_zero_fna	Chimera	3000000	0.0	1829	160	41	201	14	1614	0.087479	0.022417	0.109896	0.007654	0.882449	609.6666666666666	53.333333333333336	67.0
2015_Yu_SZAXPI003409-8_zeroFna_rank37_head3000k	2015 Yu et al	disease	paper_zero_fna	Kraken2_LF01	3000000	0.0	151	151	0	151	0	0	1.0	0.0	1.0	0.0	0.0	50.333333333333336	50.333333333333336	50.333333333333336
2015_Yu_SZAXPI003410-3_c2Positive_rank13_head3000k	2015 Yu et al	disease	paper_c2_positive	Centrifuger	3000000	376.8	712	366	45	411	10	291	0.514045	0.063202	0.577247	0.014045	0.408708	237.33333333333334	122.0	137.0
2015_Yu_SZAXPI003410-3_c2Positive_rank13_head3000k	2015 Yu et al	disease	paper_c2_positive	Chimera	3000000	376.8	1894	191	102	293	40	1561	0.100845	0.053854	0.154699	0.021119	0.824182	631.3333333333334	63.666666666666664	97.66666666666667
2015_Yu_SZAXPI003410-3_c2Positive_rank13_head3000k	2015 Yu et al	disease	paper_c2_positive	Kraken2_LF01	3000000	376.8	145	144	0	144	1	0	0.993103	0.0	0.993103	0.006897	0.0	48.333333333333336	48.0	48.0
2015_Yu_SZAXPI003411-6_zeroFna_rank43_head3000k	2015 Yu et al	disease	paper_zero_fna	Centrifuger	3000000	0.0	788	434	33	467	17	304	0.550761	0.041878	0.59264	0.021574	0.385787	262.6666666666667	144.66666666666666	155.66666666666666
2015_Yu_SZAXPI003411-6_zeroFna_rank43_head3000k	2015 Yu et al	disease	paper_zero_fna	Chimera	3000000	0.0	2075	256	105	361	57	1657	0.123373	0.050602	0.173976	0.02747	0.798554	691.6666666666667	85.33333333333334	120.33333333333333
2015_Yu_SZAXPI003411-6_zeroFna_rank43_head3000k	2015 Yu et al	disease	paper_zero_fna	Kraken2_LF01	3000000	0.0	155	152	2	154	0	1	0.980645	0.012903	0.993548	0.0	0.006452	51.666666666666664	50.666666666666664	51.33333333333333
2015_Yu_SZAXPI003412-1_c2Positive_rank10_head3000k	2015 Yu et al	disease	paper_c2_positive	Centrifuger	3000000	749.1	1343	900	76	976	17	350	0.670141	0.05659	0.726731	0.012658	0.260611	447.6666666666667	300.0	325.33333333333337
2015_Yu_SZAXPI003412-1_c2Positive_rank10_head3000k	2015 Yu et al	disease	paper_c2_positive	Chimera	3000000	749.1	4107	821	713	1534	121	2452	0.199903	0.173606	0.373509	0.029462	0.597029	1369.0	273.6666666666667	511.33333333333337
2015_Yu_SZAXPI003412-1_c2Positive_rank10_head3000k	2015 Yu et al	disease	paper_c2_positive	Kraken2_LF01	3000000	749.1	311	308	0	308	3	0	0.990354	0.0	0.990354	0.009646	0.0	103.66666666666666	102.66666666666666	102.66666666666666
2015_Yu_SZAXPI003413-4_zeroFna_rank15_head3000k	2015 Yu et al	disease	paper_zero_fna	Centrifuger	3000000	0.0	631	228	30	258	8	365	0.361331	0.047544	0.408875	0.012678	0.578447	210.33333333333334	76.0	86.0
2015_Yu_SZAXPI003413-4_zeroFna_rank15_head3000k	2015 Yu et al	disease	paper_zero_fna	Chimera	3000000	0.0	1803	77	61	138	67	1598	0.042707	0.033833	0.076539	0.03716	0.886301	601.0	25.666666666666664	46.0
2015_Yu_SZAXPI003413-4_zeroFna_rank15_head3000k	2015 Yu et al	disease	paper_zero_fna	Kraken2_LF01	3000000	0.0	118	116	0	116	1	1	0.983051	0.0	0.983051	0.008475	0.008475	39.33333333333333	38.666666666666664	38.666666666666664
2015_Yu_SZAXPI003414-3_zeroFna_rank71_head3000k	2015 Yu et al	disease	paper_zero_fna	Centrifuger	3000000	0.0	208	68	10	78	1	129	0.326923	0.048077	0.375	0.004808	0.620192	69.33333333333333	22.666666666666668	26.0
2015_Yu_SZAXPI003414-3_zeroFna_rank71_head3000k	2015 Yu et al	disease	paper_zero_fna	Chimera	3000000	0.0	3144	23	63	86	12	3046	0.007316	0.020038	0.027354	0.003817	0.96883	1048.0	7.666666666666667	28.666666666666668
2015_Yu_SZAXPI003414-3_zeroFna_rank71_head3000k	2015 Yu et al	disease	paper_zero_fna	Kraken2_LF01	3000000	0.0	32	30	0	30	2	0	0.9375	0.0	0.9375	0.0625	0.0	10.666666666666668	10.0	10.0
2015_Yu_SZAXPI003415-12_zeroFna_rank27_head3000k	2015 Yu et al	disease	paper_zero_fna	Centrifuger	3000000	0.0	895	633	35	668	7	220	0.707263	0.039106	0.746369	0.007821	0.24581	298.3333333333333	211.0	222.66666666666666
2015_Yu_SZAXPI003415-12_zeroFna_rank27_head3000k	2015 Yu et al	disease	paper_zero_fna	Chimera	3000000	0.0	4202	490	880	1370	281	2551	0.116611	0.209424	0.326035	0.066873	0.607092	1400.6666666666665	163.33333333333334	456.6666666666667
2015_Yu_SZAXPI003415-12_zeroFna_rank27_head3000k	2015 Yu et al	disease	paper_zero_fna	Kraken2_LF01	3000000	0.0	115	115	0	115	0	0	1.0	0.0	1.0	0.0	0.0	38.333333333333336	38.333333333333336	38.333333333333336
2015_Yu_SZAXPI003416-4_c2Positive_rank31_head3000k	2015 Yu et al	disease	paper_c2_positive	Centrifuger	3000000	6.9	435	204	37	241	5	189	0.468966	0.085057	0.554023	0.011494	0.434483	145.0	68.0	80.33333333333334
2015_Yu_SZAXPI003416-4_c2Positive_rank31_head3000k	2015 Yu et al	disease	paper_c2_positive	Chimera	3000000	6.9	1785	81	27	108	4	1673	0.045378	0.015126	0.060504	0.002241	0.937255	595.0	27.0	36.0
2015_Yu_SZAXPI003416-4_c2Positive_rank31_head3000k	2015 Yu et al	disease	paper_c2_positive	Kraken2_LF01	3000000	6.9	94	94	0	94	0	0	1.0	0.0	1.0	0.0	0.0	31.333333333333332	31.333333333333332	31.333333333333332
