sample	role	cohort	condition	paper_fna_c2_pct	sensitivity_group	selection_order
2015_Yu_SZAXPI015224-13_c2Positive_rank32_head3000k	paper_c2_positive	2015 Yu et al	disease	0.00018	paper_c2_positive_abundance_quantile	1
2015_Yu_SZAXPI015232-18_c2Positive_rank29_head3000k	paper_c2_positive	2015 Yu et al	control	0.00054	paper_c2_positive_abundance_quantile	2
2015_Yu_SZAXPI015273-95_c2Positive_rank25_head3000k	paper_c2_positive	2015 Yu et al	control	0.00125	paper_c2_positive_abundance_quantile	3
2015_Yu_SZAXPI017459-26_c2Positive_rank22_head3000k	paper_c2_positive	2015 Yu et al	disease	0.00144	paper_c2_positive_abundance_quantile	4
2015_Yu_SZAXPI003431-1_c2Positive_rank18_head3000k	paper_c2_positive	2015 Yu et al	disease	0.00643	paper_c2_positive_abundance_quantile	5
2015_Yu_SZAXPI003422-11_c2Positive_rank15_head3000k	paper_c2_positive	2015 Yu et al	disease	0.01068	paper_c2_positive_abundance_quantile	6
2015_Yu_SZAXPI017452-17_c2Positive_rank11_head3000k	paper_c2_positive	2015 Yu et al	disease	0.01785	paper_c2_positive_abundance_quantile	7
2015_Yu_SZAXPI015237-23_c2Positive_rank8_head3000k	paper_c2_positive	2015 Yu et al	disease	0.04142	paper_c2_positive_abundance_quantile	8
2015_Yu_SZAXPI017588-123_c2Positive_rank4_head3000k	paper_c2_positive	2015 Yu et al	disease	0.09781	paper_c2_positive_abundance_quantile	9
2015_Yu_SZAXPI015226-14_c2Positive_rank1_head3000k	paper_c2_positive	2015 Yu et al	disease	0.38466	paper_c2_positive_abundance_quantile	10
2015_Yu_SZAXPI003409-8_zeroFna_rank37_head3000k	paper_zero_fna	2015 Yu et al	disease	0	condition_matched_zero_fna	1
2015_Yu_SZAXPI003417-4_zeroFna_rank35_head3000k	paper_zero_fna	2015 Yu et al	control	0	condition_matched_zero_fna	2
2015_Yu_SZAXPI003420-4_zeroFna_rank12_head3000k	paper_zero_fna	2015 Yu et al	disease	0	condition_matched_zero_fna	3
2015_Yu_SZAXPI003432-12_zeroFna_rank47_head3000k	paper_zero_fna	2015 Yu et al	disease	0	condition_matched_zero_fna	4
2015_Yu_SZAXPI015215-20_zeroFna_rank9_head3000k	paper_zero_fna	2015 Yu et al	disease	0	condition_matched_zero_fna	5
2015_Yu_SZAXPI015225-18_zeroFna_rank42_head3000k	paper_zero_fna	2015 Yu et al	disease	0	condition_matched_zero_fna	6
2015_Yu_SZAXPI017457-24_zeroFna_rank29_head3000k	paper_zero_fna	2015 Yu et al	disease	0	condition_matched_zero_fna	7
2015_Yu_SZAXPI017467-87_zeroFna_rank88_head3000k	paper_zero_fna	2015 Yu et al	disease	0	condition_matched_zero_fna	8
2015_Yu_SZAXPI017592-142_zeroFna_rank54_head3000k	paper_zero_fna	2015 Yu et al	control	0	condition_matched_zero_fna	9
