audit_scheme	tool	metric	threshold_expected_c2_reads	n_positive	n_negative	auc	auc_ci_low	auc_ci_high
original_combined_panel_candidate	chimera	strict_c2_best_reads_per_million	0	30	30	0.866667	0.767222	0.942222
original_combined_panel_candidate	chimera	strict_c2_best_reads_per_million	500	12	30	0.994444	0.975000	1.000000
original_combined_panel_candidate	chimera	strict_c2_best_reads_per_million	1000	9	30	1.000000	1.000000	1.000000
original_combined_panel_candidate	chimera	strict_c2_best_reads_per_million	2000	7	30	1.000000	1.000000	1.000000
original_combined_panel_candidate	chimera	strict_c2_best_reads_per_million	5000	4	30	1.000000	1.000000	1.000000
original_combined_panel_candidate	chimera	c2_supported_reads_per_million	0	30	30	0.854444	0.753333	0.938889
original_combined_panel_candidate	chimera	c2_supported_reads_per_million	500	12	30	0.972222	0.919444	1.000000
original_combined_panel_candidate	chimera	c2_supported_reads_per_million	1000	9	30	0.996296	0.977778	1.000000
original_combined_panel_candidate	chimera	c2_supported_reads_per_million	2000	7	30	1.000000	1.000000	1.000000
original_combined_panel_candidate	chimera	c2_supported_reads_per_million	5000	4	30	1.000000	1.000000	1.000000
exact_dedup_per_clade_candidate	chimera	strict_c2_best_reads_per_million	0	30	30	0.866667	0.771111	0.943333
exact_dedup_per_clade_candidate	chimera	strict_c2_best_reads_per_million	500	12	30	0.994444	0.975000	1.000000
exact_dedup_per_clade_candidate	chimera	strict_c2_best_reads_per_million	1000	9	30	1.000000	1.000000	1.000000
exact_dedup_per_clade_candidate	chimera	strict_c2_best_reads_per_million	2000	7	30	1.000000	1.000000	1.000000
exact_dedup_per_clade_candidate	chimera	strict_c2_best_reads_per_million	5000	4	30	1.000000	1.000000	1.000000
exact_dedup_per_clade_candidate	chimera	c2_supported_reads_per_million	0	30	30	0.866667	0.767778	0.946667
exact_dedup_per_clade_candidate	chimera	c2_supported_reads_per_million	500	12	30	0.975000	0.925000	1.000000
exact_dedup_per_clade_candidate	chimera	c2_supported_reads_per_million	1000	9	30	0.996296	0.977778	1.000000
exact_dedup_per_clade_candidate	chimera	c2_supported_reads_per_million	2000	7	30	1.000000	1.000000	1.000000
exact_dedup_per_clade_candidate	chimera	c2_supported_reads_per_million	5000	4	30	1.000000	1.000000	1.000000
original_combined_panel_candidate	centrifuger	strict_c2_best_reads_per_million	0	30	30	0.727778	0.596667	0.846125
original_combined_panel_candidate	centrifuger	strict_c2_best_reads_per_million	500	12	30	0.845833	0.700000	0.958333
original_combined_panel_candidate	centrifuger	strict_c2_best_reads_per_million	1000	9	30	0.929630	0.825926	1.000000
original_combined_panel_candidate	centrifuger	strict_c2_best_reads_per_million	2000	7	30	0.909524	0.780952	1.000000
original_combined_panel_candidate	centrifuger	strict_c2_best_reads_per_million	5000	4	30	1.000000	1.000000	1.000000
