tool	unit	positive_rule	expected_c2_reads_min	n_pos	n_zero	pos_mean	zero_mean	pos_median	zero_median	delta_mean	auc_c2_positive_vs_zero
centrifuger_default	reads_per_million	all_pos	0	137	619	322.944039	241.508922	278.000000	228.000000	81.435117	0.632678
centrifuger_default	reads_per_million	>=500_expected_reads	500	50	619	421.266667	241.508922	369.666667	228.000000	179.757745	0.738239
centrifuger_default	reads_per_million	>=1000_expected_reads	1000	38	619	468.087719	241.508922	386.666667	228.000000	226.578797	0.800293
centrifuger_default	reads_per_million	>=2000_expected_reads	2000	26	619	523.346154	241.508922	425.833333	228.000000	281.837232	0.847459
centrifuger_default	reads_per_million	>=5000_expected_reads	5000	12	619	669.000000	241.508922	617.666667	228.000000	427.491078	0.906233
chimera_default	reads_per_million	all_pos	0	137	619	1360.832117	978.245855	1075.666667	999.333333	382.586262	0.613186
chimera_default	reads_per_million	>=500_expected_reads	500	50	619	1961.566667	978.245855	1353.000000	999.333333	983.320811	0.807318
chimera_default	reads_per_million	>=1000_expected_reads	1000	38	619	2238.614035	978.245855	1864.833333	999.333333	1260.368180	0.880899
chimera_default	reads_per_million	>=2000_expected_reads	2000	26	619	2679.782051	978.245855	2222.000000	999.333333	1701.536196	0.944669
chimera_default	reads_per_million	>=5000_expected_reads	5000	12	619	3758.083333	978.245855	2481.000000	999.333333	2779.837478	0.938072
kraken2_safe_lf01	reads_per_million	all_pos	0	137	619	79.600973	70.806337	68.000000	65.666667	8.794636	0.532487
kraken2_safe_lf01	reads_per_million	>=500_expected_reads	500	50	619	95.166667	70.806337	79.833334	65.666667	24.360329	0.604103
kraken2_safe_lf01	reads_per_million	>=1000_expected_reads	1000	38	619	104.271930	70.806337	89.666666	65.666667	33.465592	0.650965
kraken2_safe_lf01	reads_per_million	>=2000_expected_reads	2000	26	619	114.692308	70.806337	103.500000	65.666667	43.885970	0.703741
kraken2_safe_lf01	reads_per_million	>=5000_expected_reads	5000	12	619	130.416667	70.806337	118.666667	65.666667	59.610329	0.761712
sylph_default	sequence_abundance_pct	all_pos	0	137	619	15.299047	0.000000	0.000000	0.000000	15.299047	0.613139
sylph_default	sequence_abundance_pct	>=500_expected_reads	500	50	619	41.919390	0.000000	12.429200	0.000000	41.919390	0.810000
sylph_default	sequence_abundance_pct	>=1000_expected_reads	1000	38	619	49.893934	0.000000	41.245300	0.000000	49.893934	0.881579
sylph_default	sequence_abundance_pct	>=2000_expected_reads	2000	26	619	65.166812	0.000000	100.000000	0.000000	65.166812	0.961538
sylph_default	sequence_abundance_pct	>=5000_expected_reads	5000	12	619	69.448783	0.000000	100.000000	0.000000	69.448783	0.958333
