sample	cohort	condition	role	tool	signal_unit	input_reads_used	paper_fna_c2_percent	expected_c2_reads_at_depth	fna_c2_signal	fna_c1_signal	non_c1c2_signal	other_or_unmapped_signal
2015_Yu_SZAXPI003409-8_zeroFna_rank37_head3000k	2015 Yu et al	disease	paper_zero_fna	Centrifuger	reads_per_million	3000000	0.0	0.0	243.666667	42.666667	212.0	999501.666667
2015_Yu_SZAXPI003409-8_zeroFna_rank37_head3000k	2015 Yu et al	disease	paper_zero_fna	Chimera	reads_per_million	3000000	0.0	0.0	609.666667	154.666667	1287.0	997948.666667
2015_Yu_SZAXPI003409-8_zeroFna_rank37_head3000k	2015 Yu et al	disease	paper_zero_fna	Kraken2_LF01	reads_per_million	3000000	0.0	0.0	50.333333	0.0	3.666667	999946.0
2015_Yu_SZAXPI003409-8_zeroFna_rank37_head3000k	2015 Yu et al	disease	paper_zero_fna	sylph	sequence_abundance_pct	3000000	0.0	0.0	0.0	0.0	0.0	0.0
2015_Yu_SZAXPI003410-3_c2Positive_rank13_head3000k	2015 Yu et al	disease	paper_c2_positive	Centrifuger	reads_per_million	3000000	0.01256	376.8	238.333333	40.333333	642.0	999079.333333
2015_Yu_SZAXPI003410-3_c2Positive_rank13_head3000k	2015 Yu et al	disease	paper_c2_positive	Chimera	reads_per_million	3000000	0.01256	376.8	631.333333	142.333333	3153.666667	996072.666667
2015_Yu_SZAXPI003410-3_c2Positive_rank13_head3000k	2015 Yu et al	disease	paper_c2_positive	Kraken2_LF01	reads_per_million	3000000	0.01256	376.8	48.333333	1.333333	93.333333	999857.0
2015_Yu_SZAXPI003410-3_c2Positive_rank13_head3000k	2015 Yu et al	disease	paper_c2_positive	sylph	sequence_abundance_pct	3000000	0.01256	376.8	0.0	0.0	0.0	100.0
2015_Yu_SZAXPI003411-6_zeroFna_rank43_head3000k	2015 Yu et al	disease	paper_zero_fna	Centrifuger	reads_per_million	3000000	0.0	0.0	263.666667	47.666667	301.666667	999387.0
2015_Yu_SZAXPI003411-6_zeroFna_rank43_head3000k	2015 Yu et al	disease	paper_zero_fna	Chimera	reads_per_million	3000000	0.0	0.0	691.666667	177.333333	1425.333333	997705.666667
2015_Yu_SZAXPI003411-6_zeroFna_rank43_head3000k	2015 Yu et al	disease	paper_zero_fna	Kraken2_LF01	reads_per_million	3000000	0.0	0.0	51.666667	2.666667	12.666667	999933.0
2015_Yu_SZAXPI003411-6_zeroFna_rank43_head3000k	2015 Yu et al	disease	paper_zero_fna	sylph	sequence_abundance_pct	3000000	0.0	0.0	0.0	0.0	0.0	0.0
2015_Yu_SZAXPI003412-1_c2Positive_rank10_head3000k	2015 Yu et al	disease	paper_c2_positive	Centrifuger	reads_per_million	3000000	0.02497	749.1	450.0	44.666667	223.333333	999282.0
